doctor_id,first_name,last_name,specialization,phone_number,years_experience,hospital_id,hospital_branch,email,reputation_score,public_medical_opinion_index
DOC-00000017,Cécile,بقشان,Orthopedics,59-7849-9059,6,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.cécile.بقشان@newyork-presbyterian.com,2.4,49.46
DOC-00000018,Augustin,Moreau,Ophthalmology,+49(0)6147 92907,9,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.augustin.moreau@newyork-presbyterian.com,2.9,55.41
DOC-00000019,Maria,Anderson,Internal Medicine,37-1143-8405,3,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.maria.anderson@newyork-presbyterian.com,2.68,52.82
DOC-00000020,坤,الراشد,Radiology,+61.8.3343.6867,8,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.坤.الراشد@newyork-presbyterian.com,3.46,72.74
DOC-00000021,فرات,Guichard,Anesthesiology,71-1882-9786,10,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.فرات.guichard@newyork-presbyterian.com,3.59,64.84
DOC-00000022,海燕,Long,Orthopedics,(554)423-7227,20,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.海燕.long@newyork-presbyterian.com,3.75,68.57
DOC-00000023,Lucy,दासगुप्ता,Orthopedics,+61 3 4273 4262,9,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.lucy.दासगुप्ता@newyork-presbyterian.com,2.55,53.04
DOC-00000024,涼平,夏,Ophthalmology,18055948438,5,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.涼平.夏@newyork-presbyterian.com,2.52,47.41
DOC-00000025,Isaac,भट,Surgery,+39 05444531458,9,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.isaac.भट@newyork-presbyterian.com,2.83,65.17
DOC-00000026,بلسم,De Sousa,Ophthalmology,15893646200,5,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.بلسم.de sousa@newyork-presbyterian.com,2.97,52.29
DOC-00000027,Lucas Gabriel,Jennings,Emergency Medicine,+61.461.090.825,8,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.lucas gabriel.jennings@newyork-presbyterian.com,3.14,60.07
DOC-00000028,さゆり,آل خضير,Ophthalmology,070-1708-4569,8,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.さゆり.آل خضير@newyork-presbyterian.com,3.38,77.58
DOC-00000029,Korbinian,آل خضير,Oncology,05 81 75 97 26,7,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.korbinian.آل خضير@newyork-presbyterian.com,2.61,43.47
DOC-00000030,Luc,西村,Cardiology,090-1526-2921,17,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.luc.西村@newyork-presbyterian.com,3.79,84.26
DOC-00000031,Ricardo,गोयल,Pediatrics,+49 (0) 4195 896017,10,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.ricardo.गोयल@newyork-presbyterian.com,3.14,69.94
DOC-00000032,健,Peixoto,Endocrinology,08333266670,10,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.健.peixoto@newyork-presbyterian.com,3.38,75.99
DOC-00000033,Pénélope,लोबो,Anesthesiology,5269-9375,7,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.pénélope.लोबो@newyork-presbyterian.com,3.22,64.97
DOC-00000034,اصيل,George,Dermatology,+34920 79 85 56,5,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.اصيل.george@newyork-presbyterian.com,2.75,55.79
DOC-00000035,Nicole,Hale,Infectious Disease,+55 31 9711 3771,10,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.nicole.hale@newyork-presbyterian.com,2.79,56.67
DOC-00000036,Mariana,Gargallo,Oncology,+39 0571230893,7,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.mariana.gargallo@newyork-presbyterian.com,2.6,60.6
DOC-00000037,军,高橋,Obstetrics,+49 (0) 5531 195249,7,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.军.高橋@newyork-presbyterian.com,3.37,60.21
DOC-00000038,Amy,Miller,Infectious Disease,432-544-3250x4122,10,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.amy.miller@newyork-presbyterian.com,3.29,71.54
DOC-00000039,عبّاس,آل سلطان,Cardiology,+61330748062,11,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.عبّاس.آل سلطان@newyork-presbyterian.com,2.77,56.72
DOC-00000040,秀兰,Alexander,Pediatrics,04783 480650,2,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.秀兰.alexander@newyork-presbyterian.com,2.4,54.44
DOC-00000041,आभा,曹,Radiology,18261497191,5,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.आभा.曹@newyork-presbyterian.com,3.07,69.48
DOC-00000042,Michael,Aparecida,Obstetrics,1 (912) 702-0896,8,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.michael.aparecida@newyork-presbyterian.com,3.48,68.36
DOC-00000043,Maggie,da Mota,Surgery,18288202537,7,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.maggie.da mota@newyork-presbyterian.com,2.85,60.54
DOC-00000044,Lewis,Smith,Obstetrics,+34 844 81 71 61,5,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.lewis.smith@newyork-presbyterian.com,2.76,51.92
DOC-00000045,Elisa,Barker,Emergency Medicine,(0808) 1570876,6,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.elisa.barker@newyork-presbyterian.com,3.32,71.82
DOC-00000046,영수,Letellier,Endocrinology,+44(0)121 4960500,6,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.영수.letellier@newyork-presbyterian.com,3.34,76.48
DOC-00000047,मञ्जुनाथ,Atkins,Surgery,+55 (021) 7645-7473,7,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.मञ्जुनाथ.atkins@newyork-presbyterian.com,2.93,49.54
DOC-00000048,Nacio,सेन,Pediatrics,+33 4 92 03 16 30,7,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.nacio.सेन@newyork-presbyterian.com,2.95,57.69
DOC-00000049,Gert,शुक्ला,Dermatology,+39 3411279702,7,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.gert.शुक्ला@newyork-presbyterian.com,3.02,58.57
DOC-00000050,拓真,Mclaughlin,Emergency Medicine,080-3372-6925,6,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.拓真.mclaughlin@newyork-presbyterian.com,2.93,55.9
DOC-00000051,Charles,Rosenow,Emergency Medicine,033-128-5840,13,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.charles.rosenow@newyork-presbyterian.com,3.76,74.92
DOC-00000052,Micha,Greenwood,Anesthesiology,044-295-2063,8,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.micha.greenwood@newyork-presbyterian.com,2.98,56.87
DOC-00000053,Valentim,Smith,Surgery,06799 241460,15,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.valentim.smith@newyork-presbyterian.com,3.26,60.52
DOC-00000054,Glen,Babbo,Gynecology,818-451-1392x5679,8,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.glen.babbo@newyork-presbyterian.com,2.94,66.22
DOC-00000055,준혁,Taylor,Anesthesiology,016-188-8038,2,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.준혁.taylor@newyork-presbyterian.com,2.26,47.56
DOC-00000056,春香,Guillet,Cardiology,070-9205-0262,13,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.春香.guillet@newyork-presbyterian.com,2.88,62.31
DOC-00000057,磊,Brown,Radiology,070-3742-1877,25,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.磊.brown@newyork-presbyterian.com,3.66,73.86
DOC-00000058,Tiffany,Salcedo,Obstetrics,+33 2 47 00 32 38,6,HOSP-USA-00001,NewYork-Presbyterian Hospital,dr.tiffany.salcedo@newyork-presbyterian.com,2.95,67.32
DOC-00000059,千代,Lopez,Radiology,(041) 2034-8302,8,HOSP-USA-00002,Mount Sinai Hospital,dr.千代.lopez@mountsinaihospital.com,2.96,49.21
DOC-00000060,Annunziata,Klotz,Radiology,0163425111,4,HOSP-USA-00002,Mount Sinai Hospital,dr.annunziata.klotz@mountsinaihospital.com,3.06,55.91
DOC-00000061,Danny,김,Obstetrics,(295)904-2462x7146,27,HOSP-USA-00002,Mount Sinai Hospital,dr.danny.김@mountsinaihospital.com,4.55,96.38
DOC-00000062,Blanca,da Costa,Psychiatry,200-543-8027x47150,4,HOSP-USA-00002,Mount Sinai Hospital,dr.blanca.da costa@mountsinaihospital.com,2.5,44.2
DOC-00000063,Renee,मुख़र्जी,Emergency Medicine,+39 0577147434,14,HOSP-USA-00002,Mount Sinai Hospital,dr.renee.मुख़र्जी@mountsinaihospital.com,3.63,77.42
DOC-00000064,Gabriela,Sharp,Psychiatry,18984552977,15,HOSP-USA-00002,Mount Sinai Hospital,dr.gabriela.sharp@mountsinaihospital.com,3.51,78.69
DOC-00000065,Marc,伊藤,Radiology,13324571248,12,HOSP-USA-00002,Mount Sinai Hospital,dr.marc.伊藤@mountsinaihospital.com,3.44,62.81
DOC-00000066,Robert,Mende,Neurology,+1-442-458-9433x76317,15,HOSP-USA-00002,Mount Sinai Hospital,dr.robert.mende@mountsinaihospital.com,3.09,66.21
DOC-00000067,太郎,الدباغ,Internal Medicine,+55 (021) 5954 4046,8,HOSP-USA-00002,Mount Sinai Hospital,dr.太郎.الدباغ@mountsinaihospital.com,2.55,56.03
DOC-00000068,Alisha,Volterra,Psychiatry,0306 999 0102,7,HOSP-USA-00002,Mount Sinai Hospital,dr.alisha.volterra@mountsinaihospital.com,2.81,51.79
DOC-00000069,Rhavi,김,Gynecology,18682273939,5,HOSP-USA-00002,Mount Sinai Hospital,dr.rhavi.김@mountsinaihospital.com,2.36,51.02
DOC-00000070,Jacob,آل علي,Gynecology,7191-5071,11,HOSP-USA-00002,Mount Sinai Hospital,dr.jacob.آل علي@mountsinaihospital.com,3.52,75.8
DOC-00000071,Cheryl,Walker,Internal Medicine,+91 3496347441,7,HOSP-USA-00002,Mount Sinai Hospital,dr.cheryl.walker@mountsinaihospital.com,2.53,41.1
DOC-00000072,तारा,이,Oncology,+49(0)3841440714,4,HOSP-USA-00002,Mount Sinai Hospital,dr.तारा.이@mountsinaihospital.com,2.39,40.0
DOC-00000073,Brian,गुरुंग,Pulmonology,011-728-0969,6,HOSP-USA-00002,Mount Sinai Hospital,dr.brian.गुरुंग@mountsinaihospital.com,3.27,72.26
DOC-00000074,涼平,이,Emergency Medicine,+91 8664006514,11,HOSP-USA-00002,Mount Sinai Hospital,dr.涼平.이@mountsinaihospital.com,3.22,71.08
DOC-00000075,Kyle,Gibert,Surgery,(0121)4960824,4,HOSP-USA-00002,Mount Sinai Hospital,dr.kyle.gibert@mountsinaihospital.com,2.7,51.74
DOC-00000076,Suzanne,Lees,Psychiatry,070-5239-1892,6,HOSP-USA-00002,Mount Sinai Hospital,dr.suzanne.lees@mountsinaihospital.com,2.66,59.26
DOC-00000077,ऐश्वर्या,이,Emergency Medicine,017-091-0681,10,HOSP-USA-00002,Mount Sinai Hospital,dr.ऐश्वर्या.이@mountsinaihospital.com,2.71,45.32
DOC-00000078,Martyn,Morgan,Psychiatry,907-705-2791,7,HOSP-USA-00002,Mount Sinai Hospital,dr.martyn.morgan@mountsinaihospital.com,3.05,53.38
DOC-00000079,Doreen,박,Cardiology,080-7128-3313,9,HOSP-USA-00002,Mount Sinai Hospital,dr.doreen.박@mountsinaihospital.com,3.01,56.39
DOC-00000080,Duncan,सेन,Surgery,+34 820823220,7,HOSP-USA-00002,Mount Sinai Hospital,dr.duncan.सेन@mountsinaihospital.com,2.55,58.39
DOC-00000081,Ryan,宁,Psychiatry,521.694.3976x2063,6,HOSP-USA-00002,Mount Sinai Hospital,dr.ryan.宁@mountsinaihospital.com,3.15,54.57
DOC-00000082,Sofia,Fry,Internal Medicine,0114 4960687,20,HOSP-USA-00002,Mount Sinai Hospital,dr.sofia.fry@mountsinaihospital.com,3.36,62.95
DOC-00000083,Joshua,Thompson,Gastroenterology,(02)-0348-3243,9,HOSP-USA-00002,Mount Sinai Hospital,dr.joshua.thompson@mountsinaihospital.com,3.03,59.5
DOC-00000084,Barbara,कुमार,Emergency Medicine,731.224.6821,4,HOSP-USA-00002,Mount Sinai Hospital,dr.barbara.कुमार@mountsinaihospital.com,2.7,61.47
DOC-00000085,欣,朱,Emergency Medicine,18943724842,7,HOSP-USA-00002,Mount Sinai Hospital,dr.欣.朱@mountsinaihospital.com,2.74,52.02
DOC-00000086,Ramona,Shaw,Urology,+34841 332 914,12,HOSP-USA-00002,Mount Sinai Hospital,dr.ramona.shaw@mountsinaihospital.com,3.2,64.3
DOC-00000087,Isabelly,Reed,Gynecology,+61-413-117-351,12,HOSP-USA-00002,Mount Sinai Hospital,dr.isabelly.reed@mountsinaihospital.com,3.54,67.46
DOC-00000088,Fernando,西村,Psychiatry,+49(0) 218292320,16,HOSP-USA-00002,Mount Sinai Hospital,dr.fernando.西村@mountsinaihospital.com,3.93,85.32
DOC-00000089,Christopher,Freeman,Internal Medicine,488-265-8535x43753,12,HOSP-USA-00002,Mount Sinai Hospital,dr.christopher.freeman@mountsinaihospital.com,3.02,56.76
DOC-00000090,Donald,Winkler,Gynecology,+55 84 4813-2459,10,HOSP-USA-00002,Mount Sinai Hospital,dr.donald.winkler@mountsinaihospital.com,3.46,67.99
DOC-00000091,Kara,김,Psychiatry,18666761004,8,HOSP-USA-00002,Mount Sinai Hospital,dr.kara.김@mountsinaihospital.com,3.45,75.36
DOC-00000092,يمام,Smith,Internal Medicine,019-664-8908,9,HOSP-USA-00002,Mount Sinai Hospital,dr.يمام.smith@mountsinaihospital.com,2.8,46.2
DOC-00000093,अशोक,石井,Pathology,+91 799 0320605,17,HOSP-USA-00002,Mount Sinai Hospital,dr.अशोक.石井@mountsinaihospital.com,3.03,51.4
DOC-00000094,Sébastien,박,Emergency Medicine,0800 849 6485,7,HOSP-USA-00002,Mount Sinai Hospital,dr.sébastien.박@mountsinaihospital.com,2.68,52.41
DOC-00000095,서윤,Iannuzzi,Internal Medicine,0431 775 118,7,HOSP-USA-00002,Mount Sinai Hospital,dr.서윤.iannuzzi@mountsinaihospital.com,2.54,50.95
DOC-00000096,Thomas,Lemoine,Internal Medicine,+34 880078749,4,HOSP-USA-00002,Mount Sinai Hospital,dr.thomas.lemoine@mountsinaihospital.com,2.75,57.68
DOC-00000097,रीतिका,简,Gynecology,+1-226-594-8433x45703,9,HOSP-USA-00002,Mount Sinai Hospital,dr.रीतिका.简@mountsinaihospital.com,3.01,51.9
DOC-00000098,Howard,الخرافي,Gynecology,+55 51 5126 7694,15,HOSP-USA-00002,Mount Sinai Hospital,dr.howard.الخرافي@mountsinaihospital.com,3.32,62.54
DOC-00000099,太郎,高橋,Emergency Medicine,(217)448-7027,6,HOSP-USA-00002,Mount Sinai Hospital,dr.太郎.高橋@mountsinaihospital.com,2.37,46.64
DOC-00000100,Thales,O'Donnell,Emergency Medicine,041-27930228,20,HOSP-USA-00002,Mount Sinai Hospital,dr.thales.o'donnell@mountsinaihospital.com,3.5,73.84
DOC-00000101,Marcus,Martinez,Psychiatry,(011) 0122-2309,12,HOSP-USA-00002,Mount Sinai Hospital,dr.marcus.martinez@mountsinaihospital.com,3.63,69.65
DOC-00000102,彬,Walton,Radiology,02326 219193,11,HOSP-USA-00002,Mount Sinai Hospital,dr.彬.walton@mountsinaihospital.com,2.9,66.28
DOC-00000103,Roman,Colin,Emergency Medicine,920-361-9374x661,5,HOSP-USA-00002,Mount Sinai Hospital,dr.roman.colin@mountsinaihospital.com,2.91,54.74
DOC-00000104,Elvira,Henschel,Internal Medicine,090-7645-7152,4,HOSP-USA-00002,Mount Sinai Hospital,dr.elvira.henschel@mountsinaihospital.com,2.84,56.51
DOC-00000105,Eustaquio,加藤,Infectious Disease,18585563246,9,HOSP-USA-00002,Mount Sinai Hospital,dr.eustaquio.加藤@mountsinaihospital.com,2.83,59.55
DOC-00000106,Ashley,da Mota,Ophthalmology,(041) 4892 5843,12,HOSP-USA-00002,Mount Sinai Hospital,dr.ashley.da mota@mountsinaihospital.com,3.46,77.46
DOC-00000107,Alana,Singh,Emergency Medicine,0532306514,8,HOSP-USA-00002,Mount Sinai Hospital,dr.alana.singh@mountsinaihospital.com,3.25,61.71
DOC-00000108,刚,Cirino,Gynecology,15804039752,10,HOSP-USA-00002,Mount Sinai Hospital,dr.刚.cirino@mountsinaihospital.com,3.33,68.05
DOC-00000109,미경,권,Emergency Medicine,(0113)4960133,17,HOSP-USA-00002,Mount Sinai Hospital,dr.미경.권@mountsinaihospital.com,3.51,77.03
DOC-00000110,Josefa,Aguilar,Radiology,+34883 40 19 46,8,HOSP-USA-00002,Mount Sinai Hospital,dr.josefa.aguilar@mountsinaihospital.com,2.99,56.89
DOC-00000111,Brent,Alcaraz,Psychiatry,+44289018033,11,HOSP-USA-00002,Mount Sinai Hospital,dr.brent.alcaraz@mountsinaihospital.com,2.91,59.91
DOC-00000112,雷,Alba,Ophthalmology,+91 1937663051,8,HOSP-USA-00002,Mount Sinai Hospital,dr.雷.alba@mountsinaihospital.com,3.15,58.5
DOC-00000113,Étienne,آل صفوان,Emergency Medicine,307 422 0271,7,HOSP-USA-00002,Mount Sinai Hospital,dr.étienne.آل صفوان@mountsinaihospital.com,2.98,50.79
DOC-00000114,Jennifer,الجابر,Internal Medicine,+55 21 0538-7245,4,HOSP-USA-00002,Mount Sinai Hospital,dr.jennifer.الجابر@mountsinaihospital.com,2.97,65.02
DOC-00000115,颖,Bryant,Cardiology,09370 424203,7,HOSP-USA-00003,NYU Langone Health,dr.颖.bryant@nyulangonehealth.com,2.98,68.47
DOC-00000116,Susan,Briccialdi,Cardiology,0900 257 8809,4,HOSP-USA-00003,NYU Langone Health,dr.susan.briccialdi@nyulangonehealth.com,2.74,59.96
DOC-00000117,Gilles,Bray,Anesthesiology,+61 488 042 380,10,HOSP-USA-00003,NYU Langone Health,dr.gilles.bray@nyulangonehealth.com,2.65,58.84
DOC-00000118,Luciana,宁,Surgery,(264)409-1465,3,HOSP-USA-00003,NYU Langone Health,dr.luciana.宁@nyulangonehealth.com,3.03,51.64
DOC-00000119,Amanda,中村,Cardiology,+44(0)9098790799,5,HOSP-USA-00003,NYU Langone Health,dr.amanda.中村@nyulangonehealth.com,2.69,45.29
DOC-00000120,Jiri,Tudela,Cardiology,033-405-3598,17,HOSP-USA-00003,NYU Langone Health,dr.jiri.tudela@nyulangonehealth.com,4.0,88.56
DOC-00000121,Corrado,Wilmsen,Dermatology,02.6953.2409,16,HOSP-USA-00003,NYU Langone Health,dr.corrado.wilmsen@nyulangonehealth.com,3.61,64.35
DOC-00000122,くみ子,陈,Orthopedics,+44117 496 0002,12,HOSP-USA-00003,NYU Langone Health,dr.くみ子.陈@nyulangonehealth.com,3.56,66.48
DOC-00000123,ربى,Lynch,Cardiology,001-351-596-0917x1349,13,HOSP-USA-00003,NYU Langone Health,dr.ربى.lynch@nyulangonehealth.com,3.72,83.46
DOC-00000124,凯,许,Dermatology,13561935003,12,HOSP-USA-00003,NYU Langone Health,dr.凯.许@nyulangonehealth.com,3.63,67.1
DOC-00000125,Justin,小林,Cardiology,062-892-2205,10,HOSP-USA-00003,NYU Langone Health,dr.justin.小林@nyulangonehealth.com,2.73,51.23
DOC-00000126,Corona,Pineda,Dermatology,080-5731-4205,5,HOSP-USA-00003,NYU Langone Health,dr.corona.pineda@nyulangonehealth.com,2.84,60.07
DOC-00000127,翼,류,Pediatrics,(031) 9889 5224,5,HOSP-USA-00003,NYU Langone Health,dr.翼.류@nyulangonehealth.com,3.22,68.8
DOC-00000128,Katie,Ayala,Cardiology,+49(0)4502 77177,14,HOSP-USA-00003,NYU Langone Health,dr.katie.ayala@nyulangonehealth.com,3.26,69.61
DOC-00000129,Maria Clara,Adolph,Infectious Disease,0218419472,9,HOSP-USA-00003,NYU Langone Health,dr.maria clara.adolph@nyulangonehealth.com,2.81,47.35
DOC-00000130,Kellie,Hertrampf,Cardiology,1-616-583-0411,21,HOSP-USA-00003,NYU Langone Health,dr.kellie.hertrampf@nyulangonehealth.com,3.48,72.52
DOC-00000131,Ana Vitória,Montgomery,Cardiology,18621198043,9,HOSP-USA-00003,NYU Langone Health,dr.ana vitória.montgomery@nyulangonehealth.com,2.7,53.48
DOC-00000132,आनन्द,Weber,Gynecology,06573 615411,1,HOSP-USA-00003,NYU Langone Health,dr.आनन्द.weber@nyulangonehealth.com,2.42,44.98
DOC-00000133,Danielle,Domingo,Dermatology,0800 922 0597,3,HOSP-USA-00003,NYU Langone Health,dr.danielle.domingo@nyulangonehealth.com,2.66,63.17
DOC-00000134,Lina,Brown,Cardiology,015938189,8,HOSP-USA-00003,NYU Langone Health,dr.lina.brown@nyulangonehealth.com,3.14,67.72
DOC-00000135,مهنّد,Hoover,Surgery,+34 874 74 93 93,17,HOSP-USA-00003,NYU Langone Health,dr.مهنّد.hoover@nyulangonehealth.com,3.51,62.6
DOC-00000136,Roger,長谷川,Surgery,+34 841 79 61 96,1,HOSP-USA-00003,NYU Langone Health,dr.roger.長谷川@nyulangonehealth.com,2.52,50.66
DOC-00000137,Nathan,Scholl,Dermatology,0426653878,3,HOSP-USA-00003,NYU Langone Health,dr.nathan.scholl@nyulangonehealth.com,2.78,62.73
DOC-00000138,零,加藤,Surgery,055-554-5461,9,HOSP-USA-00003,NYU Langone Health,dr.零.加藤@nyulangonehealth.com,3.15,57.31
DOC-00000139,माया,Pieper,Surgery,0117 496 0033,10,HOSP-USA-00003,NYU Langone Health,dr.माया.pieper@nyulangonehealth.com,3.28,64.96
DOC-00000140,Calcedonio,鈴木,Surgery,153.461.5019,7,HOSP-USA-00003,NYU Langone Health,dr.calcedonio.鈴木@nyulangonehealth.com,2.99,67.06
DOC-00000141,Ísis,Lacombe,Orthopedics,070-89583869,14,HOSP-USA-00003,NYU Langone Health,dr.ísis.lacombe@nyulangonehealth.com,2.91,62.73
DOC-00000142,성호,Pacheco,Cardiology,+61-487-187-986,7,HOSP-USA-00003,NYU Langone Health,dr.성호.pacheco@nyulangonehealth.com,3.14,70.74
DOC-00000143,Susan,覃,Dermatology,03391 146855,7,HOSP-USA-00003,NYU Langone Health,dr.susan.覃@nyulangonehealth.com,2.66,44.76
DOC-00000144,Daniel,伊藤,Pulmonology,+39 057473459,12,HOSP-USA-00003,NYU Langone Health,dr.daniel.伊藤@nyulangonehealth.com,3.21,57.51
DOC-00000145,Jamie,King,Hematology,+61 7 7324 3440,7,HOSP-USA-00004,Lenox Hill Hospital,dr.jamie.king@lenoxhillhospital.com,2.43,40.8
DOC-00000146,Marcelle,दासगुप्ता,Surgery,(041) 5687 5147,12,HOSP-USA-00004,Lenox Hill Hospital,dr.marcelle.दासगुप्ता@lenoxhillhospital.com,3.55,77.19
DOC-00000147,明美,Hoareau,Surgery,017-348-2931,12,HOSP-USA-00004,Lenox Hill Hospital,dr.明美.hoareau@lenoxhillhospital.com,3.08,68.11
DOC-00000148,كريم,Almazán,Obstetrics,0479-000-979,4,HOSP-USA-00004,Lenox Hill Hospital,dr.كريم.almazán@lenoxhillhospital.com,2.83,61.62
DOC-00000149,学,Carosone,Obstetrics,+33 1 69 26 88 28,21,HOSP-USA-00004,Lenox Hill Hospital,dr.学.carosone@lenoxhillhospital.com,3.97,76.39
DOC-00000150,Maurice,Sforza,Obstetrics,0121 496 0119,23,HOSP-USA-00004,Lenox Hill Hospital,dr.maurice.sforza@lenoxhillhospital.com,4.2,93.27
DOC-00000151,Julian,Roy,Surgery,753-775-3882,8,HOSP-USA-00004,Lenox Hill Hospital,dr.julian.roy@lenoxhillhospital.com,2.7,53.3
DOC-00000152,Alana,Garcia,Surgery,+44(0)1184960603,10,HOSP-USA-00004,Lenox Hill Hospital,dr.alana.garcia@lenoxhillhospital.com,3.2,59.06
DOC-00000153,Douglas,Bates,Pediatrics,062-611-1037,11,HOSP-USA-00004,Lenox Hill Hospital,dr.douglas.bates@lenoxhillhospital.com,2.87,48.67
DOC-00000154,あすか,Soffici,Pediatrics,+33 (0)5 35 76 22 80,16,HOSP-USA-00004,Lenox Hill Hospital,dr.あすか.soffici@lenoxhillhospital.com,3.35,63.03
DOC-00000155,Jesse,橋本,Urology,+61-434-174-570,16,HOSP-USA-00004,Lenox Hill Hospital,dr.jesse.橋本@lenoxhillhospital.com,3.22,56.5
DOC-00000156,Sebastian,Silva,Obstetrics,080-9491-6393,5,HOSP-USA-00004,Lenox Hill Hospital,dr.sebastian.silva@lenoxhillhospital.com,2.67,59.97
